Dataset,Index,Stopwords,Parameters,Score,k_1,k_2,k_3,k_max,k_min
article,767,No stopwords,"{'vect__ngram_range': (1, 2), 'clf__metric': 'l2', 'vect__stop_words': None, 'vect__max_df': 1.0, 'tfidf__use_idf': True, 'tfidf__norm': 'l2', 'vect__max_features': 5000}",0.589941973,0.58108108,0.58994197,0.59883721,0.59883721,0.58108108
article,768,No stopwords,"{'vect__ngram_range': (1, 2), 'clf__metric': 'euclidean', 'vect__stop_words': None, 'vect__max_df': 1.0, 'tfidf__use_idf': True, 'tfidf__norm': 'l2', 'vect__max_features': 5000}",0.589941973,0.58108108,0.58994197,0.59883721,0.59883721,0.58108108
article,764,No stopwords,"{'vect__ngram_range': (1, 2), 'clf__metric': 'l2', 'vect__stop_words': None, 'vect__max_df': 0.85, 'tfidf__use_idf': True, 'tfidf__norm': 'l2', 'vect__max_features': 5000}",0.589297228,0.57915058,0.58800774,0.60077519,0.60077519,0.57915058
article,765,No stopwords,"{'vect__ngram_range': (1, 2), 'clf__metric': 'euclidean', 'vect__stop_words': None, 'vect__max_df': 0.85, 'tfidf__use_idf': True, 'tfidf__norm': 'l2', 'vect__max_features': 5000}",0.589297228,0.57915058,0.58800774,0.60077519,0.60077519,0.57915058
article,766,No stopwords,"{'vect__ngram_range': (1, 2), 'clf__metric': 'cosine', 'vect__stop_words': None, 'vect__max_df': 0.7, 'tfidf__use_idf': True, 'tfidf__norm': 'l2', 'vect__max_features': 5000}",0.589297228,0.58494208,0.5860735,0.59689922,0.59689922,0.58494208
article,761,No stopwords,"{'vect__ngram_range': (1, 2), 'clf__metric': 'l2', 'vect__stop_words': None, 'vect__max_df': 0.7, 'tfidf__use_idf': True, 'tfidf__norm': 'l2', 'vect__max_features': 5000}",0.588652482,0.58301158,0.58413926,0.59883721,0.59883721,0.58301158
article,762,No stopwords,"{'vect__ngram_range': (1, 2), 'clf__metric': 'euclidean', 'vect__stop_words': None, 'vect__max_df': 0.7, 'tfidf__use_idf': True, 'tfidf__norm': 'l2', 'vect__max_features': 5000}",0.588652482,0.58301158,0.58413926,0.59883721,0.59883721,0.58301158
article,763,No stopwords,"{'vect__ngram_range': (1, 2), 'clf__metric': 'cosine', 'vect__stop_words': None, 'vect__max_df': 0.85, 'tfidf__use_idf': True, 'tfidf__norm': 'l2', 'vect__max_features': 5000}",0.588652482,0.58108108,0.58413926,0.60077519,0.60077519,0.58108108
article,760,No stopwords,"{'vect__ngram_range': (1, 2), 'clf__metric': 'cosine', 'vect__stop_words': None, 'vect__max_df': 1.0, 'tfidf__use_idf': True, 'tfidf__norm': 'l2', 'vect__max_features': 5000}",0.588007737,0.58494208,0.58413926,0.59496124,0.59496124,0.58413926
article,759,No stopwords,"{'vect__ngram_range': (1, 2), 'clf__metric': 'cosine', 'vect__stop_words': None, 'vect__max_df': 0.7, 'tfidf__use_idf': True, 'tfidf__norm': 'l1', 'vect__max_features': 5000}",0.585428756,0.58108108,0.5860735,0.58914729,0.58914729,0.58108108
