Index,Stopwords,Parameters,Score,k_1,k_2,k_3,k_max,k_min
1,No stopwords,"{'vect__ngram_range': (1, 4), 'vect__stop_words': None, 'vect__max_df': 0.7, 'clf__p': 1, 'clf__weights': 'distance', 'tfidf__use_idf': True, 'tfidf__norm': 'l1', 'clf__n_neighbors': 5, 'vect__max_features': None}",0.235976789,0.23745174,0.23404255,0.23643411,0.23745174,0.23404255
2,No stopwords,"{'vect__ngram_range': (1, 4), 'vect__stop_words': None, 'vect__max_df': 0.85, 'clf__p': 1, 'clf__weights': 'distance', 'tfidf__use_idf': True, 'tfidf__norm': 'l1', 'clf__n_neighbors': 5, 'vect__max_features': None}",0.235976789,0.23745174,0.23404255,0.23643411,0.23745174,0.23404255
3,No stopwords,"{'vect__ngram_range': (1, 4), 'vect__stop_words': None, 'vect__max_df': 1.0, 'clf__p': 1, 'clf__weights': 'distance', 'tfidf__use_idf': True, 'tfidf__norm': 'l1', 'clf__n_neighbors': 5, 'vect__max_features': None}",0.235976789,0.23745174,0.23404255,0.23643411,0.23745174,0.23404255
4,No stopwords,"{'vect__ngram_range': (1, 4), 'vect__stop_words': None, 'vect__max_df': 0.7, 'clf__p': 2, 'clf__weights': 'distance', 'tfidf__use_idf': True, 'tfidf__norm': 'l1', 'clf__n_neighbors': 5, 'vect__max_features': None}",0.235976789,0.23745174,0.23404255,0.23643411,0.23745174,0.23404255
5,No stopwords,"{'vect__ngram_range': (1, 4), 'vect__stop_words': None, 'vect__max_df': 0.85, 'clf__p': 2, 'clf__weights': 'distance', 'tfidf__use_idf': True, 'tfidf__norm': 'l1', 'clf__n_neighbors': 5, 'vect__max_features': None}",0.235976789,0.23745174,0.23404255,0.23643411,0.23745174,0.23404255
6,No stopwords,"{'vect__ngram_range': (1, 4), 'vect__stop_words': None, 'vect__max_df': 1.0, 'clf__p': 2, 'clf__weights': 'distance', 'tfidf__use_idf': True, 'tfidf__norm': 'l1', 'clf__n_neighbors': 5, 'vect__max_features': None}",0.235976789,0.23745174,0.23404255,0.23643411,0.23745174,0.23404255
7,No stopwords,"{'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__max_df': 1.0, 'clf__p': 1, 'clf__weights': 'distance', 'tfidf__use_idf': True, 'tfidf__norm': 'l1', 'clf__n_neighbors': 5, 'vect__max_features': None}",0.23726628,0.24131274,0.23791103,0.23255814,0.24131274,0.23255814
8,No stopwords,"{'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__max_df': 1.0, 'clf__p': 2, 'clf__weights': 'distance', 'tfidf__use_idf': True, 'tfidf__norm': 'l1', 'clf__n_neighbors': 5, 'vect__max_features': None}",0.23726628,0.24131274,0.23791103,0.23255814,0.24131274,0.23255814
9,No stopwords,"{'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__max_df': 0.7, 'clf__p': 1, 'clf__weights': 'distance', 'tfidf__use_idf': True, 'tfidf__norm': 'l1', 'clf__n_neighbors': 5, 'vect__max_features': None}",0.237911025,0.24131274,0.23791103,0.23449612,0.24131274,0.23449612
10,No stopwords,"{'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__max_df': 0.85, 'clf__p': 1, 'clf__weights': 'distance', 'tfidf__use_idf': True, 'tfidf__norm': 'l1', 'clf__n_neighbors': 5, 'vect__max_features': None}",0.237911025,0.24131274,0.23791103,0.23449612,0.24131274,0.23449612
11,No stopwords,"{'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__max_df': 0.7, 'clf__p': 2, 'clf__weights': 'distance', 'tfidf__use_idf': True, 'tfidf__norm': 'l1', 'clf__n_neighbors': 5, 'vect__max_features': None}",0.237911025,0.24131274,0.23791103,0.23449612,0.24131274,0.23449612
12,No stopwords,"{'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__max_df': 0.85, 'clf__p': 2, 'clf__weights': 'distance', 'tfidf__use_idf': True, 'tfidf__norm': 'l1', 'clf__n_neighbors': 5, 'vect__max_features': None}",0.237911025,0.24131274,0.23791103,0.23449612,0.24131274,0.23449612
13,No stopwords,"{'vect__ngram_range': (1, 2), 'vect__stop_words': None, 'vect__max_df': 1.0, 'clf__p': 1, 'clf__weights': 'distance', 'tfidf__use_idf': True, 'tfidf__norm': 'l1', 'clf__n_neighbors': 5, 'vect__max_features': None}",0.245003224,0.24517375,0.24371373,0.24612403,0.24612403,0.24371373
14,No stopwords,"{'vect__ngram_range': (1, 2), 'vect__stop_words': None, 'vect__max_df': 1.0, 'clf__p': 2, 'clf__weights': 'distance', 'tfidf__use_idf': True, 'tfidf__norm': 'l1', 'clf__n_neighbors': 5, 'vect__max_features': None}",0.245003224,0.24517375,0.24371373,0.24612403,0.24612403,0.24371373
15,No stopwords,"{'vect__ngram_range': (1, 2), 'vect__stop_words': None, 'vect__max_df': 0.85, 'clf__p': 1, 'clf__weights': 'distance', 'tfidf__use_idf': True, 'tfidf__norm': 'l1', 'clf__n_neighbors': 5, 'vect__max_features': None}",0.247582205,0.24517375,0.24371373,0.25387597,0.25387597,0.24371373
16,No stopwords,"{'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__max_df': 0.85, 'clf__p': 1, 'clf__weights': 'distance', 'tfidf__use_idf': False, 'tfidf__norm': 'l1', 'clf__n_neighbors': 5, 'vect__max_features': None}",0.247582205,0.24324324,0.25145068,0.24806202,0.25145068,0.24324324
17,No stopwords,"{'vect__ngram_range': (1, 2), 'vect__stop_words': None, 'vect__max_df': 0.85, 'clf__p': 2, 'clf__weights': 'distance', 'tfidf__use_idf': True, 'tfidf__norm': 'l1', 'clf__n_neighbors': 5, 'vect__max_features': None}",0.247582205,0.24517375,0.24371373,0.25387597,0.25387597,0.24371373
18,No stopwords,"{'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__max_df': 0.85, 'clf__p': 2, 'clf__weights': 'distance', 'tfidf__use_idf': False, 'tfidf__norm': 'l1', 'clf__n_neighbors': 5, 'vect__max_features': None}",0.247582205,0.24324324,0.25145068,0.24806202,0.25145068,0.24324324
19,No stopwords,"{'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__max_df': 0.7, 'clf__p': 1, 'clf__weights': 'distance', 'tfidf__use_idf': False, 'tfidf__norm': 'l1', 'clf__n_neighbors': 5, 'vect__max_features': None}",0.24822695,0.24324324,0.25145068,0.25,0.25145068,0.24324324
20,No stopwords,"{'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__max_df': 0.7, 'clf__p': 2, 'clf__weights': 'distance', 'tfidf__use_idf': False, 'tfidf__norm': 'l1', 'clf__n_neighbors': 5, 'vect__max_features': None}",0.24822695,0.24324324,0.25145068,0.25,0.25145068,0.24324324
21,No stopwords,"{'vect__ngram_range': (1, 2), 'vect__stop_words': None, 'vect__max_df': 0.7, 'clf__p': 1, 'clf__weights': 'distance', 'tfidf__use_idf': True, 'tfidf__norm': 'l1', 'clf__n_neighbors': 5, 'vect__max_features': None}",0.248871696,0.24517375,0.24371373,0.25775194,0.25775194,0.24371373
22,Stopwords,"{'vect__ngram_range': (1, 3), 'vect__stop_words': ['el', 'la', 'de', 'que', 'y', 'a', 'en', 'un', 'ser', 'se', 'no', 'haber', 'por', 'con', 'su', 'para', 'como', 'estar', 'tener', 'le', 'lo', 'lo', 'todo', 'pero', 'mas', 'hacer', 'o', 'decir', 'este', 'ir', 'otro', 'ese', 'la', 'si', 'me', 'ya', 'ver', 'porque', 'dar', 'cuando', 'el', 'muy', 'sin', 'vez', 'mucho', 'saber', 'que', 'sobre', 'mi', 'alguno', 'mismo', 'yo', 'tambien', 'hasta', 'ano', 'dos', 'querer', 'entre', 'asi', 'primero', 'desde', 'grande', 'eso', 'ni', 'nos', 'llegar', 'pasar', 'tiempo', 'ella', 'si', 'dia', 'uno', 'bien', 'poco', 'deber', 'entonces', 'poner', 'cosa', 'tanto', 'hombre', 'parecer', 'nuestro', 'tan', 'donde', 'ahora', 'parte', 'despues', 'vida', 'quedar', 'siempre', 'creer', 'hablar', 'llevar', 'dejar', 'nada', 'cada', 'seguir', 'menos', 'nuevo', 'encontrar', 'dijo', 'los', 'del', 'al', 'las', 'una'], 'vect__max_df': 0.7, 'clf__p': 1, 'clf__weights': 'distance', 'tfidf__use_idf': True, 'tfidf__norm': 'l1', 'clf__n_neighbors': 5, 'vect__max_features': None}",0.248871696,0.24131274,0.24371373,0.26162791,0.26162791,0.24131274
23,Stopwords,"{'vect__ngram_range': (1, 3), 'vect__stop_words': ['el', 'la', 'de', 'que', 'y', 'a', 'en', 'un', 'ser', 'se', 'no', 'haber', 'por', 'con', 'su', 'para', 'como', 'estar', 'tener', 'le', 'lo', 'lo', 'todo', 'pero', 'mas', 'hacer', 'o', 'decir', 'este', 'ir', 'otro', 'ese', 'la', 'si', 'me', 'ya', 'ver', 'porque', 'dar', 'cuando', 'el', 'muy', 'sin', 'vez', 'mucho', 'saber', 'que', 'sobre', 'mi', 'alguno', 'mismo', 'yo', 'tambien', 'hasta', 'ano', 'dos', 'querer', 'entre', 'asi', 'primero', 'desde', 'grande', 'eso', 'ni', 'nos', 'llegar', 'pasar', 'tiempo', 'ella', 'si', 'dia', 'uno', 'bien', 'poco', 'deber', 'entonces', 'poner', 'cosa', 'tanto', 'hombre', 'parecer', 'nuestro', 'tan', 'donde', 'ahora', 'parte', 'despues', 'vida', 'quedar', 'siempre', 'creer', 'hablar', 'llevar', 'dejar', 'nada', 'cada', 'seguir', 'menos', 'nuevo', 'encontrar', 'dijo', 'los', 'del', 'al', 'las', 'una'], 'vect__max_df': 0.85, 'clf__p': 1, 'clf__weights': 'distance', 'tfidf__use_idf': True, 'tfidf__norm': 'l1', 'clf__n_neighbors': 5, 'vect__max_features': None}",0.248871696,0.24131274,0.24371373,0.26162791,0.26162791,0.24131274
